id,bud.type,group,lo.doy,EOS,EOS.DOY,bud.length.x,bud.length.y,diff,total.rel.growth,lo.timing,treatment.timing,cooling.level,treat.cool.combined
S404,apical,S,148,2023-09-18,261,5.5,20.7,15.2,73.42995169082126,late,August,Moderate,August.Moderate
S404,lateral,S,148,2023-09-18,261,5.02,19.68,14.66,74.49186991869918,late,August,Moderate,August.Moderate
S405,apical,S,148,2023-09-11,254,6.15,15.25,9.1,59.67213114754097,late,August,Moderate,August.Moderate
S405,lateral,S,148,2023-09-10,253,4.81,12.62,7.81,61.88589540412044,late,August,Moderate,August.Moderate
S406,apical,S,148,2023-09-16,259,5.3,15.46,10.16,65.71798188874516,late,August,Moderate,August.Moderate
S406,lateral,S,148,2023-09-18,261,4.88,15.53,10.649999999999999,68.576947842884735,late,August,Moderate,August.Moderate
S407,apical,S,150,2023-09-14,257,15.18,19.4,4.219999999999999,21.75257731958763,late,August,Moderate,August.Moderate
S407,lateral,S,150,2023-09-22,265,4.04,14.54,10.5,72.21458046767538,late,August,Moderate,August.Moderate
S408,apical,S,150,2023-09-11,254,6.8,19.41,12.61,64.96651210716125,late,August,Moderate,August.Moderate
S408,lateral,S,150,2023-09-11,254,4.62,15.92,11.3,70.97989949748744,late,August,Moderate,August.Moderate
S409,apical,S,148,2023-09-24,267,5.48,21.52,16.04,74.5353159851301,late,August,Moderate,August.Moderate
S409,lateral,S,148,2023-09-13,256,4.23,16.51,12.280000000000001,74.37916414294368,late,August,Moderate,August.Moderate
S410,apical,S,148,2023-09-02,245,6.82,20.08,13.259999999999998,66.03585657370517,late,August,Moderate,August.Moderate
S410,lateral,S,148,2023-09-07,250,5.36,16.17,10.810000000000002,66.852195423624,late,August,Moderate,August.Moderate
S411,apical,S,148,2023-09-11,254,7,19.27,12.27,63.67410482615464,late,August,Moderate,August.Moderate
S411,lateral,S,148,2023-09-14,257,3.11,14.39,11.280000000000001,78.38776928422516,late,August,Moderate,August.Moderate
S412,apical,S,150,2023-09-24,267,5.21,16.3,11.09,68.03680981595093,late,August,Moderate,August.Moderate
S412,lateral,S,150,2023-09-21,264,3.18,13.39,10.21,76.25093353248693,late,August,Moderate,August.Moderate
S413,apical,S,148,2023-09-12,255,4.18,19.15,14.969999999999999,78.17232375979113,late,August,Moderate,August.Moderate
S413,lateral,S,148,2023-08-29,241,4.42,14.36,9.94,69.22005571030641,late,August,Moderate,August.Moderate
S414,apical,S,151,2023-09-29,272,2.82,16.97,14.149999999999999,83.38243959929287,late,August,Moderate,August.Moderate
S414,lateral,S,151,2023-09-19,262,2.39,13.8,11.41,82.68115942028984,late,August,Moderate,August.Moderate
T415,apical,T,129,2023-09-07,250,4.73,13.43,8.7,64.78034251675354,early,August,Extreme,August.Extreme
T415,lateral,T,129,2023-09-08,251,3.3,11.4,8.100000000000001,71.05263157894737,early,August,Extreme,August.Extreme
T416,apical,T,145,2023-09-21,264,5.14,14.86,9.719999999999999,65.41049798115748,early,August,Extreme,August.Extreme
T416,lateral,T,145,2023-09-21,264,3.6,12.14,8.540000000000001,70.34596375617792,early,August,Extreme,August.Extreme
T417,apical,T,136,2023-09-06,249,21.42,28.21,6.789999999999999,24.06947890818858,early,August,Extreme,August.Extreme
T417,lateral,T,136,2023-09-14,257,5.29,13.35,8.059999999999999,60.37453183520599,early,August,Extreme,August.Extreme
T418,apical,T,130,2023-09-07,250,5.53,16.13,10.599999999999998,65.71605703657781,early,August,Extreme,August.Extreme
T418,lateral,T,130,2023-09-12,255,4.97,13.77,8.8,63.907044299201154,early,August,Extreme,August.Extreme
T419,apical,T,130,2023-09-13,256,6.55,17.83,11.279999999999998,63.264161525518794,early,August,Extreme,August.Extreme
T419,lateral,T,130,2023-09-11,254,6.38,14.47,8.09,55.90877677954389,early,August,Extreme,August.Extreme
T420,apical,T,129,2023-09-19,262,9.65,22.75,13.1,57.58241758241758,early,August,Extreme,August.Extreme
T420,lateral,T,129,2023-09-21,264,5.7,17.6,11.900000000000002,67.61363636363636,early,August,Extreme,August.Extreme
T421,apical,T,125,2023-09-12,255,4.55,12.62,8.07,63.94611727416799,early,August,Extreme,August.Extreme
T421,lateral,T,125,2023-09-09,252,4.34,11.48,7.140000000000001,62.19512195121952,early,August,Extreme,August.Extreme
T422,apical,T,136,2023-09-16,259,4.48,18.23,13.75,75.42512342292925,early,August,Extreme,August.Extreme
T422,lateral,T,136,2023-09-21,264,4.03,16.59,12.559999999999999,75.70825798673899,early,August,Extreme,August.Extreme
T423,apical,T,129,2023-09-20,263,5.6,17.95,12.35,68.80222841225627,early,August,Extreme,August.Extreme
